Player,Reported
Rudy Gobert (UTA),Mar. 11 (story)
Donovan Mitchell (UTA),Mar. 12 (story)
Christian Wood (DET),Mar. 14 (story)
Kevin Durant (BRO),Mar. 17 (story)
Marcus Smart (BOS),Mar. 19 (story)
Nikola Jokic (DEN),Jun. 23 (story)
Malcolm Brogdon (IND),Jun. 24 (story)
Jabari Parker (SAC),Jun. 24 (story)
Buddy Hield (SAC),Jun. 24 (story)
Alex Len (SAC),Jun. 24 (tweet)
Derrick Jones Jr. (MIA),Jun. 25 (tweet)
Spencer Dinwiddie (BRO),Jun. 29 (story)
DeAndre Jordan (BRO),Jun. 29 (story)
Landry Shamet (LAC),Jul. 4 (story)
Taurean Prince (BRO),Jul. 7 (story)
Thomas Bryant (WAS),Jul. 10 (story)
Gary Payton II (WAS),Jul. 10 (story)
Russell Westbrook (HOU),Jul. 13 (story)
Harrison Barnes (SAC),Jul. 14 (story)
Michael Beasley (BRO),Jul. 14 (story)
James Ennis (ORL),Jul. 15 (story)
Eric Bledsoe (MIL),Jul. 16 (story)
Pat Connaughton (MIL),Jul. 20 (story)
Justin Anderson (BRO),Jul. 22 (story)
Aron Baynes (PHO),Jul. 22 (story)
Ricky Rubio (PHO),Jul. 22 (story)
Bam Adebayo (MIA),Jul. 24 (story)
Kendrick Nunn (MIA),Jul. 24 (story)
Luc Mbah a Moute (HOU),Jul. 27 (tweet)
Ivica Zubac (LAC),Jul. 27 (story)
Mo Bamba (ORL),Aug. 14 (story)
